Follow-Up Time Metrics After Matching Results Graph
" "
Generated by TriNetX
" "
" "
After Matching Graph Data Table
Cohort,Cohort Name
1,ESRD and Watchmen
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,22,14
10,14,18
20,9,12
30,12,6
40,14,11
50,18,4
60,22,5
70,11,6
80,5,12
90,11,9
100,8,5
110,6,6
120,5,5
130,8,2
140,18,5
150,9,2
160,7,3
170,8,0
180,12,2
190,10,3
200,10,9
210,4,5
220,10,3
230,4,3
240,11,3
250,10,5
260,5,1
270,10,1
280,3,5
290,9,4
300,10,6
310,15,2
320,10,2
330,5,3
340,6,7
350,7,2
360,683,850
