Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,ESRD and Watchmen
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,25,57
10,14,74
20,11,67
30,14,40
40,14,60
50,21,40
60,26,31
70,11,33
80,7,44
90,11,34
100,12,38
110,6,38
120,6,43
130,10,21
140,20,30
150,10,32
160,8,30
170,9,25
180,12,30
190,12,23
200,12,37
210,4,23
220,12,26
230,5,26
240,12,30
250,10,30
260,5,37
270,10,8
280,4,25
290,9,25
300,11,20
310,16,31
320,10,30
330,6,19
340,6,31
350,8,22
360,733,9752
