Follow-Up Time Metrics After Matching Results Graph
" "
Generated by TriNetX
" "
" "
After Matching Graph Data Table
Cohort,Cohort Name
1,ESRD and Watchmen
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,4,2
1,10,3
2,2,3
3,3,1
4,1,1
5,2,4
6,3,0
7,1,2
8,0,2
9,0,2
10,3,3
11,0,3
12,2,4
13,1,0
14,4,2
15,1,1
16,2,1
17,2,3
18,0,1
20,1,3
22,2,0
23,1,1
24,0,1
25,0,1
26,2,0
27,2,1
28,1,0
29,1,1
31,1,0
32,1,1
33,3,1
34,1,2
35,1,0
36,0,1
37,1,1
38,2,1
40,2,0
41,0,5
42,1,0
43,2,1
44,2,1
45,3,1
46,2,2
47,1,0
48,3,0
49,3,0
50,2,0
51,4,0
52,0,2
53,1,0
54,2,0
55,3,1
56,2,1
57,1,1
58,1,0
60,2,2
61,4,0
62,3,0
63,5,0
64,1,0
66,0,1
67,2,0
68,1,0
69,1,1
71,0,2
72,3,1
73,2,0
74,2,1
75,1,1
77,1,2
78,1,2
79,0,3
80,0,1
81,1,1
84,1,0
85,0,2
87,1,2
88,1,1
89,2,0
90,910,950
