Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,ESRD and Watchmen
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,4,14
1,10,10
2,3,16
3,4,4
4,2,6
5,2,7
6,3,5
7,1,11
8,0,5
9,0,11
10,3,11
11,0,7
12,2,12
13,1,3
14,4,9
15,1,8
16,2,5
17,2,8
18,0,6
19,0,2
20,1,12
21,0,3
22,2,5
23,2,9
24,1,5
25,0,4
26,2,5
27,2,9
28,1,4
29,2,5
30,1,4
31,1,3
32,1,2
33,3,4
34,1,4
35,1,5
36,0,9
37,1,7
38,2,4
39,0,4
40,2,5
41,0,10
42,1,6
43,2,3
44,2,3
45,3,4
46,2,9
47,1,4
48,3,3
49,3,3
50,2,4
51,4,4
52,0,5
53,3,3
54,3,5
55,4,2
56,2,3
57,2,2
58,1,3
59,0,1
60,2,7
61,5,5
62,4,1
63,5,1
64,1,3
65,0,3
66,0,5
67,2,3
68,1,4
69,1,6
70,0,1
71,0,4
72,3,4
73,2,2
74,2,4
75,1,6
76,0,3
77,1,4
78,1,4
79,0,4
80,0,5
81,1,2
82,1,3
83,0,2
84,1,5
85,1,6
86,0,6
87,1,3
88,1,2
89,2,3
90,985,10502
