Follow-Up Time Metrics After Matching Results Graph
" "
Generated by TriNetX
" "
" "
After Matching Graph Data Table
Cohort,Cohort Name
1,ESRD and Watchmen
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,4,2
1,10,3
2,2,3
3,3,1
4,1,1
5,2,4
6,3,0
7,1,2
8,0,2
9,0,2
10,3,3
11,0,3
12,2,4
13,1,0
14,4,2
15,1,1
16,2,1
17,2,3
18,0,1
20,1,3
22,2,0
23,1,1
24,0,1
25,0,1
26,2,0
27,2,1
28,1,0
29,1,1
31,1,0
32,1,1
33,3,1
34,1,2
35,1,0
36,0,1
37,1,1
38,2,1
40,2,0
41,0,5
42,1,0
43,2,1
44,2,1
45,3,1
46,2,2
47,1,0
48,3,0
49,3,0
50,2,0
51,4,0
52,0,2
53,1,0
54,2,0
55,3,1
56,2,1
57,1,1
58,1,0
60,2,2
61,4,0
62,3,0
63,5,0
64,1,0
66,0,1
67,2,0
68,1,0
69,1,1
71,0,2
72,3,1
73,2,0
74,2,1
75,1,1
77,1,2
78,1,2
79,0,3
80,0,1
81,1,1
84,1,0
85,0,2
87,1,2
88,1,1
89,2,0
90,1,1
91,1,0
92,1,3
93,3,1
94,1,1
95,1,1
96,0,1
98,3,1
100,1,0
102,1,0
103,1,0
104,0,2
105,1,0
106,1,0
107,1,0
108,0,1
109,1,0
111,1,3
112,1,1
113,0,1
114,1,0
115,0,1
116,0,1
117,2,1
118,1,0
119,1,0
120,1,1
123,0,1
126,3,0
129,1,0
130,2,1
132,1,1
133,1,0
135,1,0
136,2,0
137,5,0
138,4,0
139,1,1
140,2,1
142,0,1
143,0,1
144,2,0
145,1,1
147,1,0
148,0,1
149,0,1
150,3,0
151,3,0
153,1,0
154,1,0
155,1,0
157,1,0
158,0,1
159,2,0
160,1,1
162,2,1
166,1,0
168,1,0
169,1,0
170,2,0
173,2,0
174,1,0
175,1,0
176,2,0
178,1,0
179,1,1
180,2,0
182,1,1
183,2,0
184,2,0
186,0,1
187,2,1
190,2,0
191,3,0
192,2,0
194,1,1
195,1,1
196,1,0
197,1,2
199,2,3
200,1,1
201,1,0
202,2,0
203,1,1
205,0,1
206,1,0
209,0,2
211,0,1
212,1,0
213,1,2
214,1,0
215,1,0
216,3,0
217,2,0
218,0,1
219,1,0
222,2,0
223,0,1
224,1,0
225,0,1
226,1,1
228,1,0
230,0,1
233,1,1
234,1,0
235,1,0
239,3,1
240,1,0
241,2,0
242,1,0
244,2,0
245,1,2
246,1,0
247,3,0
248,1,1
250,1,2
252,2,1
253,2,0
254,0,1
255,1,0
257,1,0
259,1,0
260,1,0
262,0,1
263,1,0
269,3,0
270,755,882
