Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,ESRD and Watchmen
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,4,14
1,10,10
2,3,16
3,4,4
4,2,6
5,2,7
6,3,5
7,1,11
8,0,5
9,0,11
10,3,11
11,0,7
12,2,12
13,1,3
14,4,9
15,1,8
16,2,5
17,2,8
18,0,6
19,0,2
20,1,12
21,0,3
22,2,5
23,2,9
24,1,5
25,0,4
26,2,5
27,2,9
28,1,4
29,2,5
30,1,4
31,1,3
32,1,2
33,3,4
34,1,4
35,1,5
36,0,9
37,1,7
38,2,4
39,0,4
40,2,5
41,0,10
42,1,6
43,2,3
44,2,3
45,3,4
46,2,9
47,1,4
48,3,3
49,3,3
50,2,4
51,4,4
52,0,5
53,3,3
54,3,5
55,4,2
56,2,3
57,2,2
58,1,3
59,0,1
60,2,7
61,5,5
62,4,1
63,5,1
64,1,3
65,0,3
66,0,5
67,2,3
68,1,4
69,1,6
70,0,1
71,0,4
72,3,4
73,2,2
74,2,4
75,1,6
76,0,3
77,1,4
78,1,4
79,0,4
80,0,5
81,1,2
82,1,3
83,0,2
84,1,5
85,1,6
86,0,6
87,1,3
88,1,2
89,2,3
90,1,2
91,1,3
92,1,6
93,3,4
94,1,5
95,1,4
96,0,2
97,1,7
98,3,3
99,1,2
100,1,7
101,0,2
102,1,1
103,2,0
104,0,7
105,2,3
106,1,2
107,1,7
108,0,6
109,1,3
110,0,5
111,1,6
112,1,4
113,0,1
114,1,4
115,0,2
116,0,6
117,2,4
118,1,2
119,1,2
120,1,4
121,0,2
122,1,4
123,0,6
124,0,5
125,0,6
126,4,3
127,0,1
128,0,2
129,1,4
130,2,2
131,1,2
132,1,2
133,1,3
134,0,2
135,1,2
136,2,1
137,5,4
138,5,1
139,1,5
140,2,3
141,1,2
142,0,2
143,0,4
144,2,2
145,1,4
146,0,6
147,1,6
148,0,4
149,0,4
150,3,3
151,3,1
152,1,1
153,1,1
154,1,6
155,1,1
156,0,2
157,1,2
158,0,2
159,3,2
160,1,5
161,0,6
162,2,5
163,0,2
164,0,1
165,0,2
166,1,1
167,0,5
168,1,5
169,1,3
170,2,1
171,0,2
172,0,6
173,3,0
174,1,2
175,1,2
176,2,1
177,0,1
178,1,3
179,1,3
180,2,3
181,0,3
182,1,3
183,2,4
184,2,3
185,0,4
186,0,3
187,3,3
188,0,3
189,1,1
190,2,3
191,3,5
192,2,1
193,0,2
194,1,2
195,1,3
196,2,1
197,1,4
198,0,4
199,2,5
200,1,5
201,2,3
202,2,0
203,1,6
204,0,4
205,0,2
206,1,1
207,0,2
208,0,1
209,0,7
210,0,3
211,0,2
212,1,4
213,1,2
214,1,1
215,1,0
216,3,2
217,4,1
218,0,5
219,1,2
220,0,1
221,0,2
222,2,2
223,0,4
224,1,4
225,0,3
226,1,4
227,0,3
228,2,1
229,0,2
230,0,3
231,0,5
232,0,2
233,1,5
234,1,1
235,1,3
236,0,4
237,0,7
238,0,2
239,3,2
240,1,2
241,2,1
242,2,1
244,2,1
245,1,7
246,1,1
247,3,3
248,1,3
249,0,4
250,1,6
251,0,2
252,2,7
253,2,1
254,0,3
255,1,4
256,0,1
257,1,0
258,0,2
259,1,3
260,1,4
261,0,6
262,0,6
263,1,2
264,0,4
265,0,5
268,0,1
269,3,1
270,810,9961
