Outcome 1 Result 1b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
233 patients in Cohort 1 and 170 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
0,0.9975247524752476,0.99013953946208,0.9993803712498137,0.9908151549942592,0.9817181641993729,0.9953960980701524
1,0.9950495049504956,0.9868641283988945,0.9981391120135938,0.9908151549942592,0.9817181641993729,0.9953960980701524
2,0.9950495049504956,0.9868641283988945,0.9981391120135938,0.9908151549942592,0.9817181641993729,0.9953960980701524
3,0.9937915409745782,0.9851484699937995,0.9974112394165102,0.9908151549942592,0.9817181641993729,0.9953960980701524
4,0.9937915409745782,0.9851484699937995,0.9974112394165102,0.9896590112894814,0.9802201410728718,0.9946060544741196
5,,,,0.9896590112894814,0.9802201410728718,0.9946060544741196
6,0.9937915409745782,0.9851484699937995,0.9974112394165102,0.9896590112894814,0.9802201410728718,0.9946060544741196
7,0.9937915409745782,0.9851484699937995,0.9974112394165102,,,
8,,,,0.9896590112894814,0.9802201410728718,0.9946060544741196
9,,,,0.9896590112894814,0.9802201410728718,0.9946060544741196
10,0.9912498746293747,0.9817324470439353,0.9958192371618443,0.9896590112894814,0.9802201410728718,0.9946060544741196
11,0.9912498746293747,0.9817324470439353,0.9958192371618443,0.9896590112894814,0.9802201410728718,0.9946060544741196
12,0.9899757745334503,0.9800542479811162,0.9949747013330132,0.9896590112894814,0.9802201410728718,0.9946060544741196
13,0.9899757745334503,0.9800542479811162,0.9949747013330132,0.9896590112894814,0.9802201410728718,0.9946060544741196
14,0.9899757745334503,0.9800542479811162,0.9949747013330132,,,
15,0.9899757745334503,0.9800542479811162,0.9949747013330132,0.9896590112894814,0.9802201410728718,0.9946060544741196
17,0.9899757745334503,0.9800542479811162,0.9949747013330132,0.9896590112894814,0.9802201410728718,0.9946060544741196
18,0.9899757745334503,0.9800542479811162,0.9949747013330132,0.9896590112894814,0.9802201410728718,0.9946060544741196
21,,,,0.9896590112894814,0.9802201410728718,0.9946060544741196
23,0.9899757745334503,0.9800542479811162,0.9949747013330132,,,
24,0.9899757745334503,0.9800542479811162,0.9949747013330132,0.9896590112894814,0.9802201410728718,0.9946060544741196
25,0.9886833779609525,0.9783614880192462,0.9940963918030162,0.9884723697891346,0.9786804340482417,0.9937811903765055
26,,,,0.9872857282887871,0.977157826014509,0.992939246939918
27,0.9886833779609525,0.9783614880192462,0.9940963918030162,,,
28,0.9886833779609525,0.9783614880192462,0.9940963918030162,0.9872857282887871,0.977157826014509,0.992939246939918
30,,,,0.9872857282887871,0.977157826014509,0.992939246939918
32,0.9886833779609525,0.9783614880192462,0.9940963918030162,,,
33,0.9886833779609525,0.9783614880192462,0.9940963918030162,0.9872857282887871,0.977157826014509,0.992939246939918
34,0.9886833779609525,0.9783614880192462,0.9940963918030162,0.9872857282887871,0.977157826014509,0.992939246939918
35,,,,0.9872857282887871,0.977157826014509,0.992939246939918
36,0.9886833779609525,0.9783614880192462,0.9940963918030162,,,
37,,,,0.9872857282887871,0.977157826014509,0.992939246939918
38,0.9886833779609525,0.9783614880192462,0.9940963918030162,0.9872857282887871,0.977157826014509,0.992939246939918
39,0.9886833779609525,0.9783614880192462,0.9940963918030162,0.9872857282887871,0.977157826014509,0.992939246939918
41,0.9886833779609525,0.9783614880192462,0.9940963918030162,0.9860846507604553,0.9756244750989524,0.9920742833133229
42,0.9873686394264295,0.9766474359564181,0.9931848500404397,0.9860846507604553,0.9756244750989524,0.9920742833133229
43,0.9873686394264295,0.9766474359564181,0.9931848500404397,,,
44,0.9860521479071941,0.974950818173976,0.9922530738105532,,,
45,0.9860521479071941,0.974950818173976,0.9922530738105532,0.9860846507604553,0.9756244750989524,0.9920742833133229
46,0.9860521479071941,0.974950818173976,0.9922530738105532,0.9860846507604553,0.9756244750989524,0.9920742833133229
47,0.9860521479071941,0.974950818173976,0.9922530738105532,0.9860846507604553,0.9756244750989524,0.9920742833133229
48,0.9860521479071941,0.974950818173976,0.9922530738105532,,,
49,0.9860521479071941,0.974950818173976,0.9922530738105532,,,
50,0.9860521479071941,0.974950818173976,0.9922530738105532,,,
51,0.9860521479071941,0.974950818173976,0.9922530738105532,,,
52,0.9847105803590208,0.9732272961777408,0.9912904666087905,,,
53,,,,0.9860846507604553,0.9756244750989524,0.9920742833133229
54,0.9847105803590208,0.9732272961777408,0.9912904666087905,,,
55,0.9847105803590208,0.9732272961777408,0.9912904666087905,,,
56,0.9847105803590208,0.9732272961777408,0.9912904666087905,0.9860846507604553,0.9756244750989524,0.9920742833133229
57,0.9847105803590208,0.9732272961777408,0.9912904666087905,,,
58,0.9847105803590208,0.9732272961777408,0.9912904666087905,0.9860846507604553,0.9756244750989524,0.9920742833133229
59,0.9847105803590208,0.9732272961777408,0.9912904666087905,,,
61,0.9847105803590208,0.9732272961777408,0.9912904666087905,,,
62,0.9847105803590208,0.9732272961777408,0.9912904666087905,0.9848657574962272,0.9740744415452598,0.991185549128384
63,0.9847105803590208,0.9732272961777408,0.9912904666087905,0.9836468642319999,0.9725385687682814,0.9902841911612233
64,0.9847105803590208,0.9732272961777408,0.9912904666087905,0.9824279709677712,0.9710152350484698,0.9893714899690115
65,0.9847105803590208,0.9732272961777408,0.9912904666087905,,,
67,,,,0.9824279709677712,0.9710152350484698,0.9893714899690115
68,0.9847105803590208,0.9732272961777408,0.9912904666087905,,,
69,0.9847105803590208,0.9732272961777408,0.9912904666087905,,,
70,0.9847105803590208,0.9732272961777408,0.9912904666087905,0.9824279709677712,0.9710152350484698,0.9893714899690115
72,,,,0.9824279709677712,0.9710152350484698,0.9893714899690115
73,0.9847105803590208,0.9732272961777408,0.9912904666087905,0.9824279709677712,0.9710152350484698,0.9893714899690115
74,0.9847105803590208,0.9732272961777408,0.9912904666087905,,,
75,0.9847105803590208,0.9732272961777408,0.9912904666087905,0.9824279709677712,0.9710152350484698,0.9893714899690115
76,0.9833018384700951,0.9714025020615645,0.9902746204375014,,,
78,0.9833018384700951,0.9714025020615645,0.9902746204375014,0.9824279709677712,0.9710152350484698,0.9893714899690115
79,,,,0.9824279709677712,0.9710152350484698,0.9893714899690115
80,,,,0.9824279709677712,0.9710152350484698,0.9893714899690115
81,,,,0.9824279709677712,0.9710152350484698,0.9893714899690115
82,0.981889048472293,0.9695921455520139,0.9892406226041893,0.9824279709677712,0.9710152350484698,0.9893714899690115
85,0.981889048472293,0.9695921455520139,0.9892406226041893,,,
86,,,,0.9811906561428742,0.9694726211735298,0.9884374523837572
88,0.981889048472293,0.9695921455520139,0.9892406226041893,0.9811906561428742,0.9694726211735298,0.9884374523837572
89,0.981889048472293,0.9695921455520139,0.9892406226041893,,,
90,0.981889048472293,0.9695921455520139,0.9892406226041893,,,
91,0.981889048472293,0.9695921455520139,0.9892406226041893,0.9811906561428742,0.9694726211735298,0.9884374523837572
92,,,,0.9799470684925035,0.9679309002972195,0.9874898620931402
93,0.981889048472293,0.9695921455520139,0.9892406226041893,0.9799470684925035,0.9679309002972195,0.9874898620931402
94,0.981889048472293,0.9695921455520139,0.9892406226041893,0.9799470684925035,0.9679309002972195,0.9874898620931402
95,0.981889048472293,0.9695921455520139,0.9892406226041893,0.9799470684925035,0.9679309002972195,0.9874898620931402
96,0.981889048472293,0.9695921455520139,0.9892406226041893,0.9799470684925035,0.9679309002972195,0.9874898620931402
97,,,,0.9799470684925035,0.9679309002972195,0.9874898620931402
99,0.981889048472293,0.9695921455520139,0.9892406226041893,,,
103,0.981889048472293,0.9695921455520139,0.9892406226041893,,,
104,0.981889048472293,0.9695921455520139,0.9892406226041893,,,
105,,,,0.9799470684925035,0.9679309002972195,0.9874898620931402
106,0.981889048472293,0.9695921455520139,0.9892406226041893,,,
107,0.981889048472293,0.9695921455520139,0.9892406226041893,,,
108,0.981889048472293,0.9695921455520139,0.9892406226041893,,,
112,0.981889048472293,0.9695921455520139,0.9892406226041893,0.9799470684925035,0.9679309002972195,0.9874898620931402
113,0.981889048472293,0.9695921455520139,0.9892406226041893,0.9786842501052708,0.9663684713006014,0.9865214129763556
114,,,,0.9786842501052708,0.9663684713006014,0.9865214129763556
115,0.981889048472293,0.9695921455520139,0.9892406226041893,,,
116,,,,0.9786842501052708,0.9663684713006014,0.9865214129763556
117,,,,0.9786842501052708,0.9663684713006014,0.9865214129763556
118,0.9804343980301113,0.9677283700193003,0.9881683016563314,0.9786842501052708,0.9663684713006014,0.9865214129763556
120,0.9804343980301113,0.9677283700193003,0.9881683016563314,,,
121,0.9804343980301113,0.9677283700193003,0.9881683016563314,0.9786842501052708,0.9663684713006014,0.9865214129763556
124,,,,0.9786842501052708,0.9663684713006014,0.9865214129763556
125,,,,0.9774099216546127,0.9647979546196777,0.985537155867018
127,0.9789710631076789,0.965869368928667,0.9870769891566494,,,
128,0.9775055375641045,0.9640243971313011,0.9859715622983111,,,
129,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
130,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
131,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
133,0.9760400120205307,0.9621951721139108,0.9848544267349706,0.9774099216546127,0.9647979546196777,0.985537155867018
134,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
137,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
138,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
139,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
141,0.9760400120205307,0.9621951721139108,0.9848544267349706,0.9774099216546127,0.9647979546196777,0.985537155867018
143,,,,0.9774099216546127,0.9647979546196777,0.985537155867018
144,,,,0.9774099216546127,0.9647979546196777,0.985537155867018
145,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
146,,,,0.9774099216546127,0.9647979546196777,0.985537155867018
148,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
149,,,,0.9774099216546127,0.9647979546196777,0.985537155867018
151,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
152,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
154,0.9760400120205307,0.9621951721139108,0.9848544267349706,0.9761255459362754,0.9632214269745207,0.9845384007411146
156,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
157,,,,0.9748411702179385,0.9616543584234932,0.9835318852910209
158,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
159,,,,0.9748411702179385,0.9616543584234932,0.9835318852910209
160,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
161,0.9760400120205307,0.9621951721139108,0.9848544267349706,0.9748411702179385,0.9616543584234932,0.9835318852910209
163,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
167,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
170,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
174,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
175,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
176,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
177,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
178,,,,0.9735534011687741,0.9600906844502576,0.9825159844702052
181,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
184,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
185,0.9760400120205307,0.9621951721139108,0.9848544267349706,,,
187,0.9744833293857288,0.9602304266415097,0.9836715119088354,,,
188,0.9744833293857288,0.9602304266415097,0.9836715119088354,0.9735534011687741,0.9600906844502576,0.9825159844702052
191,0.9744833293857288,0.9602304266415097,0.9836715119088354,,,
192,0.9744833293857288,0.9602304266415097,0.9836715119088354,,,
193,0.9744833293857288,0.9602304266415097,0.9836715119088354,,,
195,0.9744833293857288,0.9602304266415097,0.9836715119088354,0.9735534011687741,0.9600906844502576,0.9825159844702052
