Propensity Score Density Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Propensity Score,Cohort 1 Before: Patients,Cohort 2 Before: Patients,Cohort 1 After: Patients,Cohort 2 After: Patients
0.14,1,,,
0.16,1,2,1,1
0.18,6,2,2,2
0.2,6,2,2,2
0.22,5,3,3,3
0.24,7,5,5,5
0.26,7,4,4,4
0.28,6,3,3,3
0.3,20,15,13,15
0.32,15,12,11,12
0.34,17,8,11,8
0.36,21,9,11,9
0.38,19,8,8,8
0.4,19,20,16,20
0.42,19,19,14,19
0.44,34,17,27,17
0.46,29,28,23,28
0.48,35,27,28,27
0.5,32,19,26,19
0.52,28,36,28,34
0.54,36,35,36,35
0.56,35,53,35,36
0.58,27,40,27,32
0.6,43,40,43,38
0.62,39,63,39,39
0.64,41,63,41,38
0.66,35,78,35,38
0.68,47,86,47,47
0.7,51,103,51,51
0.72,42,111,42,42
0.74,46,151,46,47
0.76,34,125,34,33
0.78,44,168,44,44
0.8,37,216,37,37
0.82,46,212,46,46
0.84,43,261,43,43
0.86,35,254,35,35
0.88,34,299,34,34
0.9,19,268,19,19
0.92,18,225,18,18
0.94,14,195,14,14
0.96,4,185,4,4
0.98,35,7492,35,35
