Follow-Up Time Metrics After Matching Results Graph
" "
Generated by TriNetX
" "
" "
After Matching Graph Data Table
Cohort,Cohort Name
1,Unnamed
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,38,92
10,23,43
20,23,42
30,22,30
40,20,30
50,18,32
60,25,28
70,16,33
80,19,36
90,14,30
100,24,22
110,19,19
120,18,25
130,18,25
140,20,29
150,14,18
160,17,25
170,14,21
180,23,27
190,8,19
200,23,23
210,21,22
220,14,21
230,12,28
240,26,31
250,16,27
260,25,19
270,28,23
280,13,20
290,17,26
300,25,30
310,14,15
320,21,26
330,22,14
340,23,26
350,16,11
360,22,25
370,25,22
380,23,17
390,9,24
400,20,17
410,13,17
420,19,16
430,26,19
440,21,27
450,17,18
460,25,20
470,12,16
480,26,17
490,12,11
500,16,12
510,15,20
520,15,20
530,15,13
540,14,17
550,13,7
560,20,14
570,16,18
580,19,21
590,8,6
600,21,17
610,19,16
620,30,23
630,15,13
640,20,27
650,11,8
660,24,11
670,16,17
680,14,19
690,13,18
700,23,12
710,22,22
720,15,16
730,21,13
740,15,17
750,15,17
760,9,21
770,12,12
780,22,20
790,8,11
800,13,16
810,19,15
820,14,14
830,13,7
840,25,9
850,12,19
860,23,12
870,10,12
880,16,10
890,10,16
900,12,15
910,12,6
920,17,14
930,18,6
940,13,21
950,12,15
960,15,10
970,15,8
980,16,18
990,12,10
1000,19,15
1010,7,8
1020,15,13
1030,9,8
1040,13,8
1050,11,9
1060,22,10
1070,14,13
1080,18,17
1090,16,22
1100,18,12
1110,11,14
1120,17,12
1130,8,14
1140,16,11
1150,10,12
1160,16,11
1170,14,17
1180,13,19
1190,8,13
1200,12,19
1210,15,12
1220,9,11
1230,8,13
1240,8,14
1250,10,8
1260,11,5
1270,7,13
1280,13,10
1290,8,8
1300,9,13
1310,9,7
1320,16,14
1330,13,11
1340,19,15
1350,14,7
1360,6,8
1370,6,9
1380,15,12
1390,10,5
1400,15,14
1410,8,12
1420,10,11
1430,12,12
1440,15,10
1450,10,11
1460,5,13
1470,7,10
1480,14,7
1490,9,7
1500,13,15
1510,9,8
1520,9,10
1530,13,14
1540,13,19
1550,7,9
1560,11,5
1570,10,9
1580,7,12
1590,4,6
1600,10,8
1610,7,8
1620,11,7
1630,15,8
1640,13,5
1650,11,5
1660,12,11
1670,10,4
1680,12,6
1690,8,7
1700,8,12
1710,8,5
1720,11,6
1730,6,4
1740,10,7
1750,13,10
1760,10,5
1770,5,7
1780,13,9
1790,4,12
1800,12,3
1810,10,5
1820,1092,952
