Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,Unnamed
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,38,210
10,23,96
20,25,86
30,22,63
40,20,73
50,18,65
60,25,56
70,16,58
80,20,63
90,14,54
100,26,66
110,19,38
120,18,52
130,18,46
140,21,55
150,15,43
160,17,55
170,14,44
180,23,55
190,8,37
200,23,48
210,21,34
220,15,49
230,12,36
240,26,50
250,16,54
260,26,45
270,28,44
280,13,40
290,19,57
300,26,55
310,14,34
320,22,38
330,22,31
340,24,49
350,16,30
360,25,52
370,25,37
380,24,52
390,9,41
400,20,35
410,14,38
420,19,37
430,26,41
440,21,53
450,17,35
460,26,50
470,12,31
480,26,39
490,12,30
500,16,39
510,16,38
520,15,48
530,15,30
540,15,32
550,14,32
560,20,34
570,16,31
580,19,38
590,8,22
600,22,32
610,19,30
620,30,45
630,15,23
640,20,41
650,11,26
660,24,24
670,16,43
680,14,40
690,13,34
700,24,27
710,22,37
720,15,38
730,22,25
740,15,40
750,15,30
760,9,40
770,12,26
780,22,37
790,8,20
800,13,34
810,20,36
820,14,23
830,13,21
840,26,27
850,12,35
860,25,24
870,10,22
880,16,21
890,11,29
900,12,25
910,12,13
920,19,35
930,18,19
940,13,43
950,12,28
960,15,29
970,16,19
980,17,26
990,13,22
1000,19,24
1010,7,15
1020,15,29
1030,9,20
1040,13,25
1050,12,19
1060,23,22
1070,14,23
1080,18,31
1090,16,31
1100,18,24
1110,11,21
1120,18,24
1130,8,25
1140,16,21
1150,10,22
1160,16,30
1170,14,30
1180,13,33
1190,9,24
1200,12,34
1210,15,26
1220,9,20
1230,8,25
1240,8,28
1250,10,29
1260,11,12
1270,7,26
1280,13,22
1290,8,23
1300,9,26
1310,9,17
1320,16,22
1330,13,22
1340,20,28
1350,14,14
1360,6,20
1370,6,22
1380,15,22
1390,10,18
1400,16,27
1410,9,22
1420,10,26
1430,12,27
1440,15,18
1450,10,16
1460,6,22
1470,7,18
1480,15,19
1490,9,12
1500,13,27
1510,9,13
1520,9,17
1530,14,26
1540,13,34
1550,7,18
1560,12,18
1570,10,17
1580,7,24
1590,4,14
1600,10,22
1610,7,15
1620,12,18
1630,15,12
1640,13,18
1650,11,7
1660,13,23
1670,10,8
1680,12,15
1690,8,16
1700,8,20
1710,8,16
1720,11,16
1730,6,13
1740,10,16
1750,13,15
1760,10,8
1770,5,10
1780,13,22
1790,4,23
1800,12,7
1810,12,12
1820,1107,1918
