Outcome 31 Result 31b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
26 patients in Cohort 1 and 26 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
0,1,,,1,,
1,1,,,1,,
2,1,,,1,,
3,1,,,1,,
4,1,,,1,,
5,1,,,1,,
6,1,,,1,,
7,1,,,1,,
8,1,,,1,,
9,1,,,1,,
10,1,,,1,,
11,1,,,1,,
12,1,,,1,,
13,1,,,1,,
14,1,,,1,,
15,1,,,1,,
16,1,,,1,,
17,1,,,1,,
18,1,,,1,,
19,1,,,,,
20,1,,,1,,
21,1,,,0.9997220678154527,0.9980286110749461,0.9999608448265944
22,1,,,0.9997220678154527,0.9980286110749461,0.9999608448265944
23,1,,,0.9997220678154527,0.9980286110749461,0.9999608448265944
24,1,,,0.9997220678154527,0.9980286110749461,0.9999608448265944
25,1,,,0.9997220678154527,0.9980286110749461,0.9999608448265944
26,,,,0.9997220678154527,0.9980286110749461,0.9999608448265944
27,1,,,0.9997220678154527,0.9980286110749461,0.9999608448265944
28,,,,0.9997220678154527,0.9980286110749461,0.9999608448265944
29,1,,,0.9997220678154527,0.9980286110749461,0.9999608448265944
30,1,,,0.9997220678154527,0.9980286110749461,0.9999608448265944
31,1,,,0.9997220678154527,0.9980286110749461,0.9999608448265944
32,1,,,0.9997220678154527,0.9980286110749461,0.9999608448265944
33,1,,,0.9997220678154527,0.9980286110749461,0.9999608448265944
34,1,,,0.9997220678154527,0.9980286110749461,0.9999608448265944
35,1,,,0.9997220678154527,0.9980286110749461,0.9999608448265944
36,1,,,0.9997220678154527,0.9980286110749461,0.9999608448265944
37,,,,0.9994397402052251,0.9977616179826315,0.9998598570883502
38,,,,0.9994397402052251,0.9977616179826315,0.9998598570883502
39,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9994397402052251,0.9977616179826315,0.9998598570883502
40,0.9997254255903346,0.9980524080244174,0.9999613179267752,,,
41,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9994397402052251,0.9977616179826315,0.9998598570883502
42,0.9997254255903346,0.9980524080244174,0.9999613179267752,,,
43,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9994397402052251,0.9977616179826315,0.9998598570883502
44,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9994397402052251,0.9977616179826315,0.9998598570883502
45,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9994397402052251,0.9977616179826315,0.9998598570883502
46,,,,0.9994397402052251,0.9977616179826315,0.9998598570883502
47,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9994397402052251,0.9977616179826315,0.9998598570883502
48,,,,0.9994397402052251,0.9977616179826315,0.9998598570883502
49,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9994397402052251,0.9977616179826315,0.9998598570883502
50,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9994397402052251,0.9977616179826315,0.9998598570883502
51,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9994397402052251,0.9977616179826315,0.9998598570883502
52,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9994397402052251,0.9977616179826315,0.9998598570883502
53,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9994397402052251,0.9977616179826315,0.9998598570883502
54,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9994397402052251,0.9977616179826315,0.9998598570883502
55,,,,0.9994397402052251,0.9977616179826315,0.9998598570883502
56,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9994397402052251,0.9977616179826315,0.9998598570883502
57,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9994397402052251,0.9977616179826315,0.9998598570883502
58,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9994397402052251,0.9977616179826315,0.9998598570883502
59,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9994397402052251,0.9977616179826315,0.9998598570883502
60,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9991516341976711,0.9973715935924564,0.9997263398550901
61,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9991516341976711,0.9973715935924564,0.9997263398550901
62,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9991516341976711,0.9973715935924564,0.9997263398550901
63,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9991516341976711,0.9973715935924564,0.9997263398550901
64,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9991516341976711,0.9973715935924564,0.9997263398550901
65,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9991516341976711,0.9973715935924564,0.9997263398550901
66,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9991516341976711,0.9973715935924564,0.9997263398550901
67,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9991516341976711,0.9973715935924564,0.9997263398550901
68,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9991516341976711,0.9973715935924564,0.9997263398550901
69,0.9997254255903346,0.9980524080244174,0.9999613179267752,0.9991516341976711,0.9973715935924564,0.9997263398550901
70,0.999445703870806,0.9977853861449302,0.999861351552221,0.9991516341976711,0.9973715935924564,0.9997263398550901
71,0.999445703870806,0.9977853861449302,0.999861351552221,0.9991516341976711,0.9973715935924564,0.9997263398550901
72,0.999445703870806,0.9977853861449302,0.999861351552221,0.9991516341976711,0.9973715935924564,0.9997263398550901
73,0.999445703870806,0.9977853861449302,0.999861351552221,0.9991516341976711,0.9973715935924564,0.9997263398550901
74,0.999445703870806,0.9977853861449302,0.999861351552221,0.9991516341976711,0.9973715935924564,0.9997263398550901
75,0.999445703870806,0.9977853861449302,0.999861351552221,0.9991516341976711,0.9973715935924564,0.9997263398550901
76,0.999445703870806,0.9977853861449302,0.999861351552221,0.9991516341976711,0.9973715935924564,0.9997263398550901
77,0.999445703870806,0.9977853861449302,0.999861351552221,0.9991516341976711,0.9973715935924564,0.9997263398550901
78,0.999445703870806,0.9977853861449302,0.999861351552221,0.9991516341976711,0.9973715935924564,0.9997263398550901
79,,,,0.9991516341976711,0.9973715935924564,0.9997263398550901
80,0.999445703870806,0.9977853861449302,0.999861351552221,,,
81,0.999445703870806,0.9977853861449302,0.999861351552221,0.9991516341976711,0.9973715935924564,0.9997263398550901
82,0.999445703870806,0.9977853861449302,0.999861351552221,,,
83,,,,0.9991516341976711,0.9973715935924564,0.9997263398550901
84,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
85,,,,0.9991516341976711,0.9973715935924564,0.9997263398550901
86,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
87,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
88,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
89,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
90,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
91,,,,0.9991516341976711,0.9973715935924564,0.9997263398550901
92,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
93,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
94,,,,0.9991516341976711,0.9973715935924564,0.9997263398550901
95,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
96,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
97,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
98,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
99,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
100,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
101,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
102,0.999164407584887,0.9974112988847276,0.9997304441195451,,,
103,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
104,,,,0.9991516341976711,0.9973715935924564,0.9997263398550901
105,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
106,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
107,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
108,,,,0.9991516341976711,0.9973715935924564,0.9997263398550901
109,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
110,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
111,0.999164407584887,0.9974112988847276,0.9997304441195451,,,
112,,,,0.9991516341976711,0.9973715935924564,0.9997263398550901
113,0.999164407584887,0.9974112988847276,0.9997304441195451,,,
114,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
115,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
116,0.999164407584887,0.9974112988847276,0.9997304441195451,,,
117,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
118,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
119,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
120,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
121,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
122,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
123,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
124,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
125,,,,0.9991516341976711,0.9973715935924564,0.9997263398550901
126,,,,0.9991516341976711,0.9973715935924564,0.9997263398550901
127,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
128,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
129,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
130,0.999164407584887,0.9974112988847276,0.9997304441195451,0.9991516341976711,0.9973715935924564,0.9997263398550901
131,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
132,,,,0.998846549729213,0.9969277344305628,0.9995672090318335
133,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
134,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
135,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
136,,,,0.998846549729213,0.9969277344305628,0.9995672090318335
137,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
138,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
139,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
140,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
141,0.999164407584887,0.9974112988847276,0.9997304441195451,,,
142,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
144,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
145,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
146,,,,0.998846549729213,0.9969277344305628,0.9995672090318335
148,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
149,0.999164407584887,0.9974112988847276,0.9997304441195451,,,
150,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
151,,,,0.998846549729213,0.9969277344305628,0.9995672090318335
152,,,,0.998846549729213,0.9969277344305628,0.9995672090318335
153,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
154,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
155,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
156,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
157,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
158,,,,0.998846549729213,0.9969277344305628,0.9995672090318335
159,,,,0.998846549729213,0.9969277344305628,0.9995672090318335
160,,,,0.998846549729213,0.9969277344305628,0.9995672090318335
161,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
162,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
163,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
164,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
165,0.999164407584887,0.9974112988847276,0.9997304441195451,0.998846549729213,0.9969277344305628,0.9995672090318335
166,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
168,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
169,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
170,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
171,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
172,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
173,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
174,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
175,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
176,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
177,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
178,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
179,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
180,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
181,,,,0.998846549729213,0.9969277344305628,0.9995672090318335
182,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
183,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
184,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
185,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
186,,,,0.998846549729213,0.9969277344305628,0.9995672090318335
187,,,,0.998846549729213,0.9969277344305628,0.9995672090318335
188,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
189,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
190,0.9988707084644922,0.9969930012256277,0.9995761387318363,0.998846549729213,0.9969277344305628,0.9995672090318335
191,,,,0.998846549729213,0.9969277344305628,0.9995672090318335
192,,,,0.998846549729213,0.9969277344305628,0.9995672090318335
193,0.9988707084644922,0.9969930012256277,0.9995761387318363,,,
