Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,Unnamed
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,40,229
10,24,107
20,24,98
30,23,78
40,19,86
50,21,71
60,30,66
70,18,65
80,24,71
90,19,71
100,35,66
110,23,48
120,28,63
130,19,57
140,21,60
150,19,54
160,21,75
170,19,55
180,26,66
190,17,46
200,27,47
210,28,39
220,14,58
230,19,39
240,26,63
250,13,58
260,25,54
270,28,47
280,14,48
290,26,63
300,33,60
310,16,39
320,22,43
330,24,44
340,27,64
350,19,34
360,3560,6516
