Baseline Patient Characteristics
" "
Generated by TriNetX
" "
Notes
4 patients in Cohort 1 and 6 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,12251,100%,56.561096,11.515077,16,90,9487,100%,60.501213,12.525141,16,90,0,0.3275047,8658,100%,59.0246,11.341862,16,90,8658,100%,59.000923,11.81952,16,90,0.8930134,0.0020441345
Age,Current Age,,12251,100%,62.24741,11.76621,19,90,9487,100%,66.442184,12.5592165,19,90,0,0.34470505,8658,100%,64.830795,11.602376,19,90,8658,100%,64.89582,11.874775,19,90,0.7155252,0.005539189
2186-5,Not Hispanic or Latino,,8956,73.104%,,,,,6798,71.656%,,,,,0.017742228,0.032395948,6321,73.008%,,,,,6304,72.811%,,,,,0.7712914,0.0044180597
2106-3,White,,5127,41.85%,,,,,4160,43.849%,,,,,0.0031159148,0.040420298,3788,43.751%,,,,,3765,43.486%,,,,,0.72449917,0.0053568315
2054-5,Black or African American,,5323,43.45%,,,,,3909,41.204%,,,,,0.00089333125,0.045465436,3711,42.862%,,,,,3707,42.816%,,,,,0.95101833,0.0009336259
UN,Unknown Ethnicity,,1888,15.411%,,,,,1673,17.635%,,,,,0.00001116813,0.059901714,1351,15.604%,,,,,1387,16.02%,,,,,0.4533594,0.011396562
2135-2,Hispanic or Latino,,1407,11.485%,,,,,1016,10.709%,,,,,0.071611665,0.02468812,986,11.388%,,,,,967,11.169%,,,,,0.64807016,0.0069374056
UNK,Unknown Race,,818,6.677%,,,,,702,7.4%,,,,,0.03827727,0.028252142,555,6.41%,,,,,601,6.942%,,,,,0.16136469,0.02128692
2131-1,Other Race,,488,3.983%,,,,,254,2.677%,,,,,1.4455601e-7,0.07283518,267,3.084%,,,,,253,2.922%,,,,,0.53304017,0.009474544
2028-9,Asian,,340,2.775%,,,,,232,2.445%,,,,,0.13187994,0.020687537,194,2.241%,,,,,220,2.541%,,,,,0.19587784,0.019658715
