Follow-Up Time Metrics After Matching Results Graph
" "
Generated by TriNetX
" "
" "
After Matching Graph Data Table
Cohort,Cohort Name
1,ESRD with Meds
2,ESRD No Meds
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,70,214
10,36,89
20,38,88
30,35,70
40,36,79
50,34,66
60,45,62
70,32,62
80,40,64
90,24,74
100,45,61
110,28,43
120,38,63
130,28,52
140,42,53
150,31,49
160,42,72
170,36,53
180,53,68
190,24,50
200,42,45
210,34,38
220,52,55
230,33,33
240,38,52
250,42,49
260,40,51
270,35,34
280,33,41
290,43,54
300,45,58
310,33,41
320,40,36
330,40,34
340,45,65
350,29,33
360,7277,6507
