Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,ESRD with Meds
2,ESRD No Meds
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,110,225
10,47,99
20,56,99
30,51,73
40,56,91
50,47,72
60,64,68
70,49,69
80,61,70
90,36,80
100,65,70
110,40,50
120,55,67
130,46,54
140,60,57
150,47,55
160,55,76
170,49,60
180,75,71
190,43,52
200,56,51
210,50,41
220,62,61
230,50,37
240,61,59
250,50,53
260,58,59
270,52,42
280,45,46
290,59,62
300,61,66
310,53,44
320,59,40
330,52,39
340,63,69
350,39,34
360,10269,7126
