Outcome 2 Result 2b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
Notes
876 patients in Cohort 1 and 1023 patients in Cohort 2 were excluded from results because they had the outcome prior to the time window.
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,1,,,0.9996070726915517,0.9987822043500035,0.9998732556573017
2,1,,,0.9992073364588043,0.9982364295043876,0.9996438206689398
3,1,,,0.9992073364588043,0.9982364295043876,0.9996438206689398
4,,,,0.9989394165401934,0.9978803003630923,0.9994694818292418
5,1,,,0.9989394165401934,0.9978803003630923,0.9994694818292418
6,1,,,0.9989394165401934,0.9978803003630923,0.9994694818292418
7,1,,,0.9989394165401934,0.9978803003630923,0.9994694818292418
8,0.9997406975236616,0.9989635980697001,0.9999351427532989,0.9988046978056627,0.9977039132710412,0.9993779112742847
9,0.9996109284819267,0.9987941494999539,0.9998744995803734,0.9988046978056627,0.9977039132710412,0.9993779112742847
10,0.9996109284819267,0.9987941494999539,0.9998744995803734,0.9986696329378059,0.9975287631222916,0.9992839984155715
11,0.9996109284819267,0.9987941494999539,0.9998744995803734,0.9986696329378059,0.9975287631222916,0.9992839984155715
12,0.9996109284819267,0.9987941494999539,0.9998744995803734,0.9986696329378059,0.9975287631222916,0.9992839984155715
13,,,,0.9986696329378059,0.9975287631222916,0.9992839984155715
14,0.9993509516474708,0.9984413500125054,0.9997297970409409,0.9985339625624566,0.9973542128645195,0.9991878790141565
15,0.9992208786354116,0.99826659655642,0.9996498965914965,0.9985339625624566,0.9973542128645195,0.9991878790141565
16,0.9992208786354116,0.99826659655642,0.9996498965914965,0.9985339625624566,0.9973542128645195,0.9991878790141565
17,0.9992208786354116,0.99826659655642,0.9996498965914965,0.9985339625624566,0.9973542128645195,0.9991878790141565
18,0.9990906191022815,0.9980934265080891,0.9995663646520353,0.9983977555016779,0.9971802760386339,0.9990898005768788
19,0.9989603425839467,0.9979221682972205,0.999479935373785,0.9981251182118082,0.9968361888619071,0.9988892332111279
20,0.99883001507676,0.9977525991961836,0.9993910696379208,0.9981251182118082,0.9968361888619071,0.9988892332111279
21,0.99883001507676,0.9977525991961836,0.9993910696379208,0.9981251182118082,0.9968361888619071,0.9988892332111279
22,0.998569189899824,0.9974178628354995,0.9992073655095042,0.997988444910669,0.9966653673767674,0.9987868862213795
23,0.998438709148497,0.9972524390485861,0.9991130302425105,0.9978516966995288,0.9964955016290201,0.9986834086285493
24,0.998438709148497,0.9972524390485861,0.9991130302425105,0.9977147984011749,0.9963263797070397,0.9985788482720207
25,0.998438709148497,0.9972524390485861,0.9991130302425105,0.9977147984011749,0.9963263797070397,0.9985788482720207
26,0.998308091839609,0.9970879882899448,0.9990172361742902,0.997577636619705,0.996157747553668,0.9984732133647768
27,0.998308091839609,0.9970879882899448,0.9990172361742902,0.9974403804781788,0.9959898156489553,0.9983666767903077
28,,,,0.9970282717959816,0.9954900044290166,0.998042383367594
29,0.998308091839609,0.9970879882899448,0.9990172361742902,0.9970282717959816,0.9954900044290166,0.998042383367594
30,0.9981772862720201,0.9969243271894889,0.9989200947398066,0.9967527354489325,0.9951588737363487,0.997822418266167
31,0.9981772862720201,0.9969243271894889,0.9989200947398066,0.9967527354489325,0.9951588737363487,0.997822418266167
32,0.9981772862720201,0.9969243271894889,0.9989200947398066,0.9963387442809499,0.9946653737308208,0.9974878731499449
33,0.9979153662283915,0.9965994807809039,0.9987223750196473,0.996200651592901,0.9945017385446705,0.9973753085112427
34,0.9977842857914769,0.9964382037083057,0.9986220051779079,0.9960624439553324,0.9943383960038634,0.997262214714186
35,0.99765317090504,0.9962776781369794,0.998520761307205,0.9960624439553324,0.9943383960038634,0.997262214714186
36,0.9975219870561373,0.9961177922550599,0.9984186875580198,0.9960624439553324,0.9943383960038634,0.997262214714186
37,0.9975219870561373,0.9961177922550599,0.9984186875580198,0.9960624439553324,0.9943383960038634,0.997262214714186
38,,,,0.995923735914118,0.9941747711165911,0.9971483451164912
39,0.9975219870561373,0.9961177922550599,0.9984186875580198,0.995923735914118,0.9941747711165911,0.9971483451164912
40,0.9975219870561373,0.9961177922550599,0.9984186875580198,0.995923735914118,0.9941747711165911,0.9971483451164912
41,0.9975219870561373,0.9961177922550599,0.9984186875580198,0.995923735914118,0.9941747711165911,0.9971483451164912
42,0.9975219870561373,0.9961177922550599,0.9984186875580198,0.995923735914118,0.9941747711165911,0.9971483451164912
43,0.9973903878494016,0.9959579586960586,0.9983156181882022,0.995923735914118,0.9941747711165911,0.9971483451164912
44,0.9973903878494016,0.9959579586960586,0.9983156181882022,0.995923735914118,0.9941747711165911,0.9971483451164912
45,0.9972587017670342,0.9957986556038878,0.9982118099249643,0.995923735914118,0.9941747711165911,0.9971483451164912
46,,,,0.995923735914118,0.9941747711165911,0.9971483451164912
47,0.9972587017670342,0.9957986556038878,0.9982118099249643,0.995923735914118,0.9941747711165911,0.9971483451164912
48,0.9972587017670342,0.9957986556038878,0.9982118099249643,0.9957839178970033,0.9940099807654833,0.9970332895373073
49,0.9972587017670342,0.9957986556038878,0.9982118099249643,0.9957839178970033,0.9940099807654833,0.9970332895373073
50,0.9972587017670342,0.9957986556038878,0.9982118099249643,0.9956438639001108,0.9938452765112937,0.9969176672553081
51,0.9972587017670342,0.9957986556038878,0.9982118099249643,0.9956438639001108,0.9938452765112937,0.9969176672553081
