Propensity Score Density Graph
" "
Generated by TriNetX
" "
Notes
4 patients in Cohort 1 and 6 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Propensity Score,Cohort 1 Before: Patients,Cohort 2 Before: Patients,Cohort 1 After: Patients,Cohort 2 After: Patients
0.16,9,2,2,2
0.18,12,11,10,11
0.2,46,22,23,22
0.22,84,45,44,45
0.24,186,94,95,94
0.26,252,138,139,138
0.28,414,174,176,174
0.3,462,276,273,276
0.32,639,280,281,280
0.34,829,432,430,432
0.36,920,525,525,525
0.38,1032,636,637,636
0.4,1021,714,714,714
0.42,1106,751,749,751
0.44,1045,736,738,736
0.46,1097,840,840,840
0.48,884,790,791,790
0.5,703,697,681,690
0.52,523,560,523,511
0.54,394,537,394,403
0.56,243,360,243,230
0.58,158,311,158,157
0.6,105,342,105,122
0.62,42,68,42,32
0.64,29,62,29,29
0.66,10,28,10,12
0.68,3,17,3,3
0.7,2,20,2,2
0.72,1,8,1,1
0.74,,6,,
0.76,,5,,
