Baseline Patient Characteristics
" "
Generated by TriNetX
" "
Notes
5 patients in Cohort 1 and 5 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,4391,100%,56.884083,11.549793,16,90,8848,100%,60.929703,12.531124,16,90,0,0.33572355,4338,100%,57.060627,11.46724,16,90,4338,100%,56.91586,12.273949,16,90,0.57029074,0.01218841
Age,Current Age,,4391,100%,62.5862,11.952898,19,90,8848,100%,66.81205,12.548585,22,90,0,0.34484446,4338,100%,62.78308,11.851094,19,90,4338,100%,62.613647,12.332609,22,90,0.51412684,0.01400938
2186-5,Not Hispanic or Latino,,3183,72.489%,,,,,6350,71.768%,,,,,0.38395846,0.016093379,3148,72.568%,,,,,3181,73.329%,,,,,0.42514053,0.017125204
2054-5,Black or African American,,2068,47.096%,,,,,3613,40.834%,,,,,7.179648e-12,0.12641907,2036,46.934%,,,,,2121,48.894%,,,,,0.06774471,0.03923027
2106-3,White,,1637,37.281%,,,,,3834,43.332%,,,,,2.7964006e-11,0.12359642,1625,37.46%,,,,,1590,36.653%,,,,,0.43654615,0.016706543
UN,Unknown Ethnicity,,679,15.463%,,,,,1485,16.783%,,,,,0.05314008,0.035900176,669,15.422%,,,,,642,14.799%,,,,,0.41831446,0.017378906
2135-2,Hispanic or Latino,,529,12.047%,,,,,1013,11.449%,,,,,0.31220305,0.01858675,521,12.01%,,,,,515,11.872%,,,,,0.842538,0.00426536
UNK,Unknown Race,,280,6.377%,,,,,631,7.132%,,,,,0.10620666,0.030083293,279,6.432%,,,,,269,6.201%,,,,,0.6589637,0.009476604
2131-1,Other Race,,206,4.691%,,,,,310,3.504%,,,,,0.0008850828,0.059946276,201,4.633%,,,,,184,4.242%,,,,,0.37546235,0.019031137
2028-9,Asian,,131,2.983%,,,,,234,2.645%,,,,,0.262452,0.02048259,128,2.951%,,,,,120,2.766%,,,,,0.6062592,0.01106722
I50,Heart failure,,994,22.637%,,,,,1739,19.654%,,,,,0.000065356384,0.07310167,981,22.614%,,,,,973,22.43%,,,,,0.83709776,0.0044147843
Z87.891,Personal history of nicotine dependence,,653,14.871%,,,,,990,11.189%,,,,,1.4447468e-9,0.10955131,638,14.707%,,,,,598,13.785%,,,,,0.21920744,0.02638348
J44,Other chronic obstructive pulmonary disease,,282,6.422%,,,,,556,6.284%,,,,,0.7582874,0.005670905,281,6.478%,,,,,272,6.27%,,,,,0.6924504,0.008492893
I95,Hypotension,,283,6.445%,,,,,473,5.346%,,,,,0.010285105,0.046678457,279,6.432%,,,,,270,6.224%,,,,,0.6914615,0.008521679
F32.A,"Depression, unspecified",,182,4.145%,,,,,289,3.266%,,,,,0.010186944,0.04652269,178,4.103%,,,,,169,3.896%,,,,,0.62193704,0.010588085
F10,Alcohol related disorders,,103,2.346%,,,,,184,2.08%,,,,,0.3221749,0.01809395,101,2.328%,,,,,99,2.282%,,,,,0.8862269,0.0030722038
I35.0,Nonrheumatic aortic (valve) stenosis,,91,2.072%,,,,,188,2.125%,,,,,0.84347093,0.0036524485,90,2.075%,,,,,85,1.959%,,,,,0.70258373,0.008198787
I35.1,Nonrheumatic aortic (valve) insufficiency,,70,1.594%,,,,,136,1.537%,,,,,0.8026464,0.0045995554,69,1.591%,,,,,68,1.568%,,,,,0.9313723,0.0018491255
I35.2,Nonrheumatic aortic (valve) stenosis with insufficiency,,33,0.752%,,,,,54,0.61%,,,,,0.34369126,0.01717423,32,0.738%,,,,,28,0.645%,,,,,0.6043238,0.011126747
C07AG,Alpha and beta blocking agents,,1090,24.824%,,,,,1528,17.269%,,,,,9.217458e-25,0.18611334,1053,24.274%,,,,,1016,23.421%,,,,,0.35126644,0.020015713
C01DA,Organic nitrates,,423,9.633%,,,,,875,9.889%,,,,,0.64109427,0.008622308,422,9.728%,,,,,395,9.106%,,,,,0.32095551,0.021311978
9083,BMI,,2731,62.195%,29.764954,6.437808,2.51,67.4,4260,48.146%,29.769253,6.490044,3.3,61,0.97837335,0.00066512916,2679,61.757%,29.774952,6.427449,2.51,67.4,2644,60.95%,30.031813,6.739022,14.8789835,61,0.15475598,0.03900671
9083,BMI,,2734,62.264%,,,,,4261,48.158%,,,,,0,0.28656042,2682,61.826%,,,,,2645,60.973%,,,,,0.41452977,0.01752062
