Follow-Up Time Metrics After Matching Results Graph
" "
Generated by TriNetX
" "
" "
After Matching Graph Data Table
Cohort,Cohort Name
1,Unnamed
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,40,105
10,23,41
20,24,47
30,23,41
40,19,32
50,21,31
60,30,32
70,18,37
80,24,43
90,18,39
100,35,34
110,23,20
120,28,34
130,19,30
140,21,27
150,18,25
160,21,50
170,18,29
180,26,30
190,17,24
200,27,20
210,28,21
220,14,27
230,19,21
240,25,36
250,12,30
260,24,27
270,28,28
280,14,26
290,25,28
300,33,29
310,16,18
320,22,23
330,24,17
340,27,24
350,19,20
360,3515,3192
