Propensity Score Density Graph
" "
Generated by TriNetX
" "
Notes
5 patients in Cohort 1 and 5 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Graph Data Table
Propensity Score,Cohort 1 Before: Patients,Cohort 2 Before: Patients,Cohort 1 After: Patients,Cohort 2 After: Patients
0.26,1,2,1,1
0.28,3,5,3,4
0.3,5,5,5,4
0.32,7,13,7,9
0.34,23,19,19,19
0.36,28,17,26,17
0.38,35,37,28,36
0.4,56,37,39,37
0.42,76,62,62,62
0.44,64,86,64,64
0.46,98,104,98,101
0.48,112,115,110,114
0.5,167,152,160,152
0.52,218,217,218,217
0.54,206,236,206,209
0.56,242,300,242,243
0.58,275,380,275,271
0.6,290,408,290,293
0.62,304,523,304,304
0.64,300,520,300,300
0.66,306,571,306,306
0.68,287,641,287,287
0.7,285,665,285,285
0.72,256,682,256,256
0.74,228,661,228,228
0.76,162,639,162,162
0.78,140,556,140,140
0.8,104,487,104,104
0.82,65,338,65,65
0.84,29,237,29,29
0.86,15,111,15,16
0.88,4,19,4,3
0.9,,3,,
